Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.998e-04,9.1,9.3,0.86,1.02,3.16,3.36,3.58,3.78
-9.995e-04,9.1,8.9,0.78,0.58,3.28,3.16,3.66,3.58
-9.991e-04,9.1,9.3,0.62,0.9,3.32,3.36,3.74,3.78
-9.987e-04,9.1,8.9,0.38,0.14,3.36,3.28,3.78,3.74
-9.983e-04,9.1,9.3,0.18,0.62,3.36,3.4,3.78,3.82
-9.979e-04,9.1,9.1,-0.02,-0.22,3.36,3.32,3.78,3.74
-9.975e-04,9.1,9.3,-0.22,0.18,3.32,3.4,3.74,3.82
-9.972e-04,9.1,9.1,-0.34,-0.5,3.28,3.2,3.7,3.66
-9.968e-04,9.3,9.3,-0.5,-0.22,3.24,3.36,3.66,3.78
-9.964e-04,9.1,9.1,-0.58,-0.7,3.2,3.12,3.62,3.58
-9.960e-04,9.1,9.3,-0.66,-0.46,3.16,3.28,3.62,3.7
-9.956e-04,9.3,9.1,-0.74,-0.82,3.12,3.04,3.54,3.46
-9.952e-04,9.3,9.3,-0.82,-0.66,3.08,3.2,3.5,3.62
-9.948e-04,9.3,9.1,-0.86,-0.9,3,2.96,3.46,3.38
-9.945e-04,9.3,9.5,-0.9,-0.78,2.96,3.08,3.42,3.5
-9.941e-04,9.3,9.1,-0.94,-0.98,2.92,2.84,3.38,3.3
-9.937e-04,9.3,9.5,-0.98,-0.86,2.88,3,3.3,3.42
-9.933e-04,9.3,9.1,-0.98,-1.06,2.84,2.76,3.26,3.22
-9.929e-04,9.3,9.5,-1.02,-0.94,2.8,2.88,3.22,3.34
-9.925e-04,9.3,9.1,-1.06,-1.1,2.76,2.68,3.18,3.14
-9.922e-04,9.3,9.5,-1.06,-1.02,2.68,2.8,3.18,3.26
-9.918e-04,9.3,9.1,-1.06,-1.14,2.68,2.6,3.1,3.06
-9.914e-04,9.3,9.5,-1.1,-1.06,2.6,2.72,3.06,3.18
-9.910e-04,9.3,9.3,-1.14,-1.14,2.56,2.48,3.02,2.98
-9.906e-04,9.3,9.5,-1.14,-1.06,2.52,2.64,2.98,3.1
-9.902e-04,9.3,9.1,-1.14,-1.18,2.48,2.4,2.94,2.86
-9.899e-04,9.3,9.5,-1.14,-1.1,2.4,2.56,2.9,2.98
-9.895e-04,9.3,9.1,-1.14,-1.18,2.4,2.32,2.86,2.78
-9.891e-04,9.3,9.5,-1.14,-1.1,2.32,2.44,2.82,2.94
-9.887e-04,9.3,9.3,-1.14,-1.18,2.28,2.24,2.78,2.7
-9.883e-04,9.3,9.5,-1.14,-1.14,2.24,2.36,2.74,2.86
-9.879e-04,9.3,9.3,-1.14,-1.22,2.2,2.16,2.7,2.62
-9.876e-04,9.5,9.5,-1.14,-1.14,2.16,2.28,2.66,2.78
-9.872e-04,9.3,9.3,-1.18,-1.22,2.12,2.08,2.62,2.54
-9.868e-04,9.3,9.5,-1.18,-1.14,2.08,2.2,2.58,2.66
-9.864e-04,9.3,9.3,-1.14,-1.22,2,1.96,2.5,2.46
-9.860e-04,9.3,9.5,-1.18,-1.14,2,2.12,2.5,2.58
-9.856e-04,9.3,9.3,-1.1,-1.18,1.92,1.88,2.46,2.38
-9.852e-04,9.3,9.5,-1.02,-1.02,1.92,2,2.42,2.5
-9.849e-04,9.3,9.3,-0.94,-1.06,1.88,1.8,2.38,2.3
-9.845e-04,9.5,9.5,-0.9,-0.86,1.84,1.92,2.34,2.42
-9.841e-04,9.3,9.3,-0.86,-0.94,1.8,1.72,2.3,2.26
-9.837e-04,9.3,9.5,-0.82,-0.82,1.76,1.84,2.26,2.34
-9.833e-04,9.5,9.3,-0.82,-0.86,1.72,1.68,2.26,2.18
-9.829e-04,9.5,9.5,-0.78,-0.74,1.72,1.8,2.18,2.3
-9.826e-04,9.3,9.3,-0.74,-0.82,1.68,1.64,2.18,2.1
-9.822e-04,9.5,9.5,-0.74,-0.74,1.64,1.72,2.14,2.22
-9.818e-04,9.5,9.3,-0.78,-0.78,1.6,1.56,2.14,2.06
-9.814e-04,9.3,9.7,-0.74,-0.74,1.6,1.64,2.1,2.18
-9.810e-04,9.3,9.3,-0.78,-0.78,1.56,1.48,2.06,1.98
-9.806e-04,9.3,9.5,-0.78,-0.7,1.52,1.6,2.02,2.1
-9.803e-04,9.3,9.3,-0.78,-0.78,1.48,1.44,2.02,1.94
-9.799e-04,9.5,9.5,-0.74,-0.74,1.44,1.52,1.98,2.06
-9.795e-04,9.3,9.3,-0.74,-0.78,1.44,1.36,1.94,1.9
-9.791e-04,9.5,9.5,-0.78,-0.7,1.4,1.48,1.94,1.98
-9.787e-04,9.3,9.3,-0.74,-0.78,1.36,1.32,1.9,1.82
-9.783e-04,9.3,9.5,-0.78,-0.74,1.36,1.4,1.86,1.94
-9.780e-04,9.3,9.3,-0.78,-0.82,1.32,1.24,1.82,1.78
-9.776e-04,9.3,9.5,-0.78,-0.74,1.28,1.36,1.82,1.86
-9.772e-04,9.5,9.3,-0.82,-0.82,1.28,1.2,1.74,1.74
-9.768e-04,9.3,9.5,-0.78,-0.74,1.24,1.32,1.74,1.82
-9.764e-04,9.5,9.3,-0.78,-0.82,1.2,1.16,1.74,1.66
-9.760e-04,9.5,9.5,-0.78,-0.74,1.2,1.24,1.7,1.78
-9.756e-04,9.5,9.3,-0.78,-0.82,1.16,1.12,1.7,1.62
-9.753e-04,9.3,9.5,-0.82,-0.74,1.12,1.2,1.66,1.74
-9.749e-04,9.3,9.3,-0.78,-0.82,1.12,1.08,1.66,1.58
-9.745e-04,9.3,9.7,-0.78,-0.78,1.12,1.16,1.62,1.7
-9.741e-04,9.5,9.3,-0.78,-0.86,1.08,1.04,1.58,1.54
-9.737e-04,9.3,9.7,-0.78,-0.78,1.04,1.12,1.54,1.62
-9.733e-04,9.3,9.3,-0.82,-0.82,1,1,1.54,1.5
-9.730e-04,9.3,9.7,-0.82,-0.78,1,1.08,1.54,1.58
-9.726e-04,9.3,9.3,-0.78,-0.82,0.96,0.92,1.5,1.46
-9.722e-04,9.3,9.5,-0.82,-0.78,0.96,1.04,1.5,1.54
-9.718e-04,9.5,9.3,-0.82,-0.86,0.92,0.92,1.46,1.42
-9.714e-04,9.5,9.7,-0.82,-0.78,0.92,1,1.46,1.5
-9.710e-04,9.5,9.3,-0.86,-0.86,0.92,0.88,1.42,1.38
-9.707e-04,9.3,9.7,-0.78,-0.78,0.88,0.96,1.42,1.46
-9.703e-04,9.3,9.3,-0.82,-0.86,0.88,0.84,1.42,1.34
-9.699e-04,9.3,9.5,-0.82,-0.78,0.84,0.92,1.38,1.42
-9.695e-04,9.3,9.3,-0.82,-0.86,0.84,0.8,1.38,1.3
-9.691e-04,9.3,9.5,-0.82,-0.78,0.84,0.88,1.34,1.38
-9.687e-04,9.5,9.3,-0.82,-0.86,0.8,0.76,1.3,1.26
-9.683e-04,9.3,9.5,-0.82,-0.78,0.8,0.84,1.3,1.34
-9.680e-04,9.3,9.3,-0.86,-0.86,0.76,0.72,1.3,1.22
-9.676e-04,9.5,9.5,-0.82,-0.78,0.76,0.8,1.26,1.3
-9.672e-04,9.5,9.3,-0.82,-0.86,0.72,0.68,1.22,1.18
-9.668e-04,9.5,9.7,-0.82,-0.78,0.72,0.8,1.22,1.3
-9.664e-04,9.5,9.3,-0.82,-0.86,0.72,0.68,1.22,1.18
-9.660e-04,9.5,9.7,-0.82,-0.82,0.68,0.76,1.22,1.26
-9.657e-04,9.3,9.3,-0.86,-0.86,0.68,0.64,1.18,1.14
-9.653e-04,9.5,9.7,-0.86,-0.82,0.68,0.72,1.18,1.22
-9.649e-04,9.3,9.3,-0.86,-0.86,0.64,0.6,1.14,1.1
-9.645e-04,9.5,9.5,-0.86,-0.82,0.64,0.68,1.14,1.18
-9.641e-04,9.3,9.3,-0.86,-0.86,0.6,0.56,1.1,1.06
-9.637e-04,9.5,9.7,-0.86,-0.82,0.64,0.64,1.1,1.18
-9.634e-04,9.5,9.3,-0.86,-0.86,0.6,0.56,1.06,1.06
-9.630e-04,9.3,9.5,-0.86,-0.82,0.6,0.64,1.06,1.14
-9.626e-04,9.3,9.3,-0.86,-0.86,0.56,0.52,1.1,1.02
-9.622e-04,9.3,9.7,-0.86,-0.82,0.52,0.6,1.06,1.1
-9.618e-04,9.5,9.3,-0.86,-0.9,0.52,0.48,1.06,0.98
-9.614e-04,9.5,9.5,-0.86,-0.82,0.52,0.6,1.02,1.06
-9.611e-04,9.5,9.3,-0.86,-0.9,0.52,0.48,1.02,0.98
-9.607e-04,9.5,9.7,-0.86,-0.82,0.52,0.56,1.02,1.06
-9.603e-04,9.5,9.3,-0.86,-0.9,0.48,0.44,1.02,0.94
-9.599e-04,9.3,9.5,-0.86,-0.82,0.48,0.52,0.98,1.02
-9.595e-04,9.3,9.3,-0.86,-0.9,0.48,0.44,0.98,0.94
-9.591e-04,9.5,9.5,-0.86,-0.82,0.44,0.52,0.98,1.02
-9.587e-04,9.5,9.3,-0.86,-0.9,0.44,0.4,0.94,0.9
-9.584e-04,9.3,9.7,-0.86,-0.82,0.44,0.48,0.94,0.98
-9.580e-04,9.3,9.3,-0.86,-0.9,0.4,0.4,0.94,0.9
-9.576e-04,9.5,9.5,-0.86,-0.82,0.4,0.44,0.9,0.98
-9.572e-04,9.5,9.3,-0.86,-0.9,0.4,0.36,0.94,0.86
-9.568e-04,9.3,9.7,-0.86,-0.82,0.4,0.44,0.86,0.94
-9.564e-04,9.3,9.3,-0.86,-0.9,0.36,0.36,0.9,0.86
-9.561e-04,9.5,9.5,-0.9,-0.86,0.36,0.4,0.86,0.94
-9.557e-04,9.5,9.3,-0.86,-0.9,0.36,0.32,0.86,0.82
-9.553e-04,9.5,9.7,-0.86,-0.86,0.36,0.4,0.86,0.9
-9.549e-04,9.5,9.3,-0.9,-0.94,0.36,0.32,0.86,0.82
-9.545e-04,9.5,9.7,-0.9,-0.86,0.36,0.4,0.82,0.86
-9.541e-04,9.3,9.3,-0.86,-0.9,0.32,0.28,0.82,0.78
-9.538e-04,9.5,9.7,-0.86,-0.86,0.32,0.36,0.82,0.86
-9.534e-04,9.3,9.3,-0.9,-0.9,0.32,0.28,0.82,0.78
-9.530e-04,9.5,9.7,-0.86,-0.86,0.32,0.36,0.78,0.86
-9.526e-04,9.3,9.3,-0.9,-0.94,0.28,0.28,0.78,0.74
-9.522e-04,9.5,9.7,-0.86,-0.82,0.28,0.32,0.78,0.82
-9.518e-04,9.5,9.3,-0.9,-0.94,0.28,0.24,0.78,0.74
-9.515e-04,9.5,9.7,-0.86,-0.86,0.28,0.32,0.78,0.82
-9.511e-04,9.5,9.3,-0.9,-0.94,0.24,0.24,0.74,0.7
-9.507e-04,9.5,9.7,-0.9,-0.86,0.24,0.28,0.78,0.78
-9.503e-04,9.5,9.3,-0.9,-0.94,0.24,0.2,0.74,0.7
-9.499e-04,9.5,9.7,-0.9,-0.86,0.24,0.28,0.74,0.78
-9.495e-04,9.5,9.3,-0.86,-0.9,0.24,0.2,0.74,0.7
-9.491e-04,9.5,9.7,-0.9,-0.86,0.24,0.24,0.74,0.74
-9.488e-04,9.5,9.3,-0.86,-0.9,0.2,0.16,0.7,0.66
-9.484e-04,9.5,9.7,-0.9,-0.86,0.2,0.24,0.7,0.74
-9.480e-04,9.5,9.3,-0.86,-0.9,0.2,0.16,0.7,0.66
-9.476e-04,9.5,9.7,-0.86,-0.86,0.2,0.24,0.7,0.74
-9.472e-04,9.3,9.3,-0.9,-0.9,0.2,0.16,0.7,0.66
-9.468e-04,9.3,9.7,-0.9,-0.86,0.2,0.24,0.66,0.7
-9.465e-04,9.3,9.3,-0.9,-0.94,0.16,0.16,0.66,0.62
-9.461e-04,9.3,9.7,-0.86,-0.86,0.16,0.2,0.66,0.7
-9.457e-04,9.3,9.3,-0.9,-0.94,0.16,0.12,0.66,0.62
-9.453e-04,9.5,9.5,-0.86,-0.86,0.16,0.2,0.66,0.7
-9.449e-04,9.3,9.3,-0.9,-0.94,0.16,0.12,0.62,0.58
-9.445e-04,9.5,9.5,-0.9,-0.86,0.16,0.2,0.62,0.66
-9.442e-04,9.3,9.3,-0.86,-0.94,0.16,0.12,0.62,0.58
-9.438e-04,9.3,9.7,-0.9,-0.86,0.12,0.16,0.62,0.66
-9.434e-04,9.5,9.3,-0.9,-0.94,0.12,0.12,0.62,0.58
-9.430e-04,9.5,9.7,-0.9,-0.86,0.12,0.16,0.62,0.66
-9.426e-04,9.5,9.3,-0.9,-0.94,0.12,0.08,0.58,0.54
-9.422e-04,9.5,9.7,-0.86,-0.86,0.12,0.16,0.58,0.66
-9.419e-04,9.3,9.3,-0.9,-0.94,0.12,0.08,0.58,0.54
-9.415e-04,9.3,9.7,-0.9,-0.86,0.08,0.16,0.58,0.62
-9.411e-04,9.5,9.3,-0.9,-0.94,0.12,0.08,0.58,0.54
-9.407e-04,9.3,9.7,-0.86,-0.86,0.08,0.12,0.58,0.62
-9.403e-04,9.5,9.3,-0.9,-0.94,0.08,0.04,0.58,0.54
-9.399e-04,9.3,9.7,-0.9,-0.86,0.08,0.12,0.58,0.62
-9.395e-04,9.5,9.3,-0.9,-0.94,0.08,0.04,0.58,0.5
-9.392e-04,9.5,9.7,-0.9,-0.86,0.08,0.12,0.58,0.58
-9.388e-04,9.5,9.3,-0.9,-0.94,0.08,0.04,0.54,0.5
-9.384e-04,9.5,9.7,-0.9,-0.86,0.08,0.12,0.54,0.58
-9.380e-04,9.5,9.3,-0.9,-0.94,0.08,0.04,0.54,0.5
-9.376e-04,9.5,9.7,-0.9,-0.86,0.08,0.08,0.54,0.58
-9.372e-04,9.5,9.3,-0.9,-0.94,0.08,-8.9407e-10,0.54,0.5
-9.369e-04,9.5,9.7,-0.9,-0.86,0.04,0.08,0.54,0.58
-9.365e-04,9.3,9.3,-0.9,-0.94,0.08,-8.9407e-10,0.54,0.46
-9.361e-04,9.3,9.7,-0.9,-0.86,0.04,0.08,0.54,0.54
-9.357e-04,9.5,9.3,-0.9,-0.94,0.04,-8.9407e-10,0.5,0.46
-9.353e-04,9.5,9.7,-0.9,-0.86,0.04,0.08,0.54,0.54
-9.349e-04,9.3,9.3,-0.9,-0.94,0.04,-8.9407e-10,0.54,0.46
-9.346e-04,9.5,9.7,-0.9,-0.86,0.04,0.04,0.5,0.54
-9.342e-04,9.5,9.3,-0.9,-0.94,0.04,-8.9407e-10,0.5,0.46
-9.338e-04,9.5,9.7,-0.9,-0.86,0.04,0.04,0.5,0.54
-9.334e-04,9.5,9.3,-0.9,-0.94,0.04,-8.9407e-10,0.5,0.46
-9.330e-04,9.3,9.7,-0.9,-0.86,0.04,0.04,0.5,0.5
-9.326e-04,9.3,9.3,-0.9,-0.94,0.04,-0.04,0.46,0.46
-9.323e-04,9.5,9.7,-0.9,-0.86,0.04,0.04,0.46,0.5
-9.319e-04,9.5,9.3,-0.9,-0.94,-8.9407e-10,-0.04,0.46,0.42
-9.315e-04,9.3,9.7,-0.9,-0.86,-8.9407e-10,0.04,0.46,0.5
-9.311e-04,9.5,9.3,-0.9,-0.94,-8.9407e-10,-0.04,0.46,0.42
-9.307e-04,9.3,9.7,-0.9,-0.9,-8.9407e-10,0.04,0.46,0.5
-9.303e-04,9.5,9.3,-0.9,-0.94,-8.9407e-10,-0.04,0.46,0.42
-9.299e-04,9.5,9.7,-0.9,-0.9,-8.9407e-10,0.04,0.46,0.5
